merchant_id,name_en,name_ar,category,in_directory,descriptor_patterns,amount_mean,amount_std,recurrence,aggregator,cities
M0001,Qassim Bistro,بيسترو القصيم,food,True,"[""QASSIM BISTRO"", ""QASSIMBISTRO"", ""QASSIMBISTRO1"", ""QASSIM_BISTRO"", ""QB"", ""SP*QASSIMBI""]",56.39,22.56,none,,"[""JED"", ""KHOBAR"", ""MAD"", ""MAK"", ""RYD""]"
M0002,Khobar Utility Co,مرافق الخبر,bills,True,"[""KHOBAR UTILITY CO"", ""KHOBARUTILITYCO"", ""KHOBARUTILITYCO1"", ""KHOBAR_UTILITY_CO"", ""KUC"", ""SP*KHOBARUT""]",345.25,120.84,monthly,,"[""DMM"", ""MAD"", ""MAK"", ""RYD""]"
M0003,Home Centre,هوم سنتر,shopping,True,"[""HC"", ""HOME CENTRE"", ""HOME*"", ""HOMECENTRE"", ""HOME_CENTRE"", ""SP*HOMECENT""]",216.15,129.69,none,,"[""NJRAN""]"
M0004,Udemy,يوديمي,education,True,"[""SP*UDEMY"", ""UDEM*"", ""UDEMY"", ""UDEMY1"", ""UDEMY2"", ""UDEMY3""]",1450.39,725.2,monthly,,"[""KHOBAR"", ""MAD"", ""MAK"", ""RYD""]"
M0005,Manuel Market,مانويل ماركت,groceries,True,"[""MANU*"", ""MANUEL MARKET"", ""MANUELMARKET"", ""MANUEL_MARKET"", ""MM"", ""SP*MANUELMA""]",308.99,154.5,none,,"[""DMM"", ""JED"", ""KHOBAR"", ""MAD"", ""MAK"", ""RYD""]"
M0006,Ryd Mart,تموينات الرياض,groceries,True,"[""RM"", ""RYD MART"", ""RYDM*"", ""RYDMART"", ""RYD_MART"", ""SP*RYDMART""]",172.23,86.11,none,,"[""DMM"", ""JED"", ""KHOBAR"", ""MAD"", ""MAK""]"
M0007,Al Faisal University,جامعة الفيصل,education,True,"[""AFU"", ""AL FAISAL UNIVERSITY"", ""ALFA*"", ""ALFAISALUNIVERSITY"", ""AL_FAISAL_UNIVERSITY"", ""SP*ALFAISAL""]",303.56,151.78,none,,"[""DMM"", ""JED"", ""KHOBAR""]"
M0008,Hail Club,نادي حائل,entertainment,False,"[""HAIL CLUB"", ""HAILCLUB"", ""HAILCLUB1"", ""HAILCLUB2"", ""HAIL_CLUB"", ""SP*HAILCLUB""]",67.35,20.2,none,,"[""DMM""]"
M0009,Khobar Supermarket,سوبر ماركت الخبر,groceries,True,"[""KHOBAR SUPERMARKET"", ""KHOBARSUPERMARKET"", ""KHOBARSUPERMARKET1"", ""KHOBAR_SUPERMARKET"", ""KS"", ""SP*KHOBARSU""]",270.85,135.43,none,,"[""DMM"", ""KHOBAR"", ""MAD"", ""RYD""]"
M0010,Tif Boutique,بوتيك الطائف,shopping,True,"[""SP*TIFBOUTI"", ""TIF BOUTIQUE"", ""TIFBOUTIQUE"", ""TIFBOUTIQUE1"", ""TIFBOUTIQUE2"", ""TIF_BOUTIQUE""]",191.7,115.02,none,,"[""TABUK""]"
